"","id","time","activity.name","activity.type","accuracy","easy.time","day","hour","minute","second"
"1",1,1518707792785,"[""stationary""]",2,1,2018-02-15 10:16:32,15,10,16,32.7850000858307
"2",2,1518707792785,"[""stationary""]",2,1,2018-02-15 10:16:32,15,10,16,32.7850000858307
"3",3,1518707794447,"[""stationary""]",2,1,2018-02-15 10:16:34,15,10,16,34.4470000267029
"4",4,1518709004134,NA,2,0,2018-02-15 10:36:44,15,10,36,44.1340000629425
"5",5,1518709063927,"[""stationary""]",2,1,2018-02-15 10:37:43,15,10,37,43.9270000457764
"6",6,1518709067053,"[""stationary""]",2,1,2018-02-15 10:37:47,15,10,37,47.0529999732971
"7",7,1518709067053,"[""stationary""]",2,1,2018-02-15 10:37:47,15,10,37,47.0529999732971
"8",8,1518709087997,"[""stationary""]",2,1,2018-02-15 10:38:07,15,10,38,7.99699997901917
"9",9,1518709105472,NA,2,0,2018-02-15 10:38:25,15,10,38,25.4719998836517
"10",10,1518709109849,"[""stationary""]",2,1,2018-02-15 10:38:29,15,10,38,29.8489999771118
"11",11,1518709110167,"[""stationary""]",2,1,2018-02-15 10:38:30,15,10,38,30.1670000553131
"12",12,1518709110167,"[""stationary""]",2,1,2018-02-15 10:38:30,15,10,38,30.1670000553131
"13",13,1518709267996,"[""stationary""]",2,1,2018-02-15 10:41:07,15,10,41,7.99600005149841
"14",14,1518709454494,"[""stationary""]",2,1,2018-02-15 10:44:14,15,10,44,14.4939999580383
"15",15,1518709503644,"[""stationary""]",2,1,2018-02-15 10:45:03,15,10,45,3.64400005340576
"16",16,1518709503644,"[""stationary""]",2,1,2018-02-15 10:45:03,15,10,45,3.64400005340576
"17",17,1518709527390,"[""stationary""]",2,1,2018-02-15 10:45:27,15,10,45,27.3900001049042
"18",18,1518709529946,NA,2,0,2018-02-15 10:45:29,15,10,45,29.9460000991821
"19",19,1518709530572,"[""stationary""]",0,1,2018-02-15 10:45:30,15,10,45,30.5720000267029
"20",20,1518709531020,NA,2,0,2018-02-15 10:45:31,15,10,45,31.0199999809265
"21",21,1518709533702,"[""stationary""]",2,1,2018-02-15 10:45:33,15,10,45,33.7019999027252
"22",22,1518709588806,NA,2,0,2018-02-15 10:46:28,15,10,46,28.805999994278
"23",23,1518709592562,"[""stationary""]",2,1,2018-02-15 10:46:32,15,10,46,32.5620000362396
"24",24,1518709593506,"[""stationary""]",2,1,2018-02-15 10:46:33,15,10,46,33.5060000419617
"25",25,1518709593506,"[""stationary""]",2,1,2018-02-15 10:46:33,15,10,46,33.5060000419617
"26",26,1518709711084,"[""stationary""]",2,1,2018-02-15 10:48:31,15,10,48,31.0840001106262
"27",27,1518709891060,"[""stationary""]",2,1,2018-02-15 10:51:31,15,10,51,31.0599999427795
"28",28,1518710008896,NA,2,0,2018-02-15 10:53:28,15,10,53,28.8959999084473
"29",29,1518710070870,"[""stationary""]",0,1,2018-02-15 10:54:30,15,10,54,30.8699998855591
"30",30,1518710071040,NA,2,0,2018-02-15 10:54:31,15,10,54,31.039999961853
"31",31,1518710086529,"[""stationary""]",2,1,2018-02-15 10:54:46,15,10,54,46.529000043869
"32",32,1518710089661,NA,2,0,2018-02-15 10:54:49,15,10,54,49.6610000133514
"33",33,1518710134126,"[""stationary""]",2,1,2018-02-15 10:55:34,15,10,55,34.1259999275208
"34",34,1518710135378,NA,2,0,2018-02-15 10:55:35,15,10,55,35.3780000209808
"35",35,1518710150404,"[""stationary""]",2,1,2018-02-15 10:55:50,15,10,55,50.404000043869
"36",36,1518710151030,"[""stationary""]",2,1,2018-02-15 10:55:51,15,10,55,51.0299999713898
"37",37,1518710417467,NA,2,0,2018-02-15 11:00:17,15,11,0,17.4670000076294
"38",38,1518710417467,NA,2,0,2018-02-15 11:00:17,15,11,0,17.4670000076294
"39",39,1518710575875,NA,2,0,2018-02-15 11:02:55,15,11,2,55.875
"40",40,1518710575875,NA,2,0,2018-02-15 11:02:55,15,11,2,55.875
"41",41,1518710575875,NA,2,0,2018-02-15 11:02:55,15,11,2,55.875
"42",42,1518710576251,NA,2,0,2018-02-15 11:02:56,15,11,2,56.2509999275208
"43",43,1518710579922,"[""stationary""]",2,1,2018-02-15 11:02:59,15,11,2,59.9219999313354
"44",44,1518710592441,NA,2,0,2018-02-15 11:03:12,15,11,3,12.4409999847412
"45",45,1518710597769,"[""stationary""]",2,1,2018-02-15 11:03:17,15,11,3,17.7690000534058
"46",46,1518710600274,"[""stationary""]",2,1,2018-02-15 11:03:20,15,11,3,20.2739999294281
"47",47,1518710611019,"[""stationary""]",2,1,2018-02-15 11:03:31,15,11,3,31.0190000534058
"48",48,1518710620929,NA,2,0,2018-02-15 11:03:40,15,11,3,40.9289999008179
"49",49,1518710624998,"[""stationary""]",2,1,2018-02-15 11:03:44,15,11,3,44.9979999065399
"50",50,1518710625316,"[""stationary""]",2,1,2018-02-15 11:03:45,15,11,3,45.3159999847412
"51",51,1518710791047,"[""stationary""]",2,1,2018-02-15 11:06:31,15,11,6,31.0469999313354
"52",52,1518710923727,NA,2,0,2018-02-15 11:08:43,15,11,8,43.7269999980927
"53",53,1518710929045,"[""stationary""]",2,1,2018-02-15 11:08:49,15,11,8,49.0450000762939
"54",54,1518710930926,"[""stationary""]",2,1,2018-02-15 11:08:50,15,11,8,50.9260001182556
"55",55,1518710971018,"[""stationary""]",2,1,2018-02-15 11:09:31,15,11,9,31.0179998874664
"56",56,1518710980695,"[""stationary""]",2,1,2018-02-15 11:09:40,15,11,9,40.6949999332428
"57",57,1518711298753,"[""stationary""]",2,1,2018-02-15 11:14:58,15,11,14,58.7530000209808
"58",58,1518711298753,"[""stationary""]",2,1,2018-02-15 11:14:58,15,11,14,58.7530000209808
"59",59,1518711331029,"[""stationary""]",2,1,2018-02-15 11:15:31,15,11,15,31.029000043869
"60",60,1518711356979,NA,2,0,2018-02-15 11:15:56,15,11,15,56.9790000915527
"61",61,1518711361670,"[""stationary""]",2,1,2018-02-15 11:16:01,15,11,16,1.67000007629395
"62",62,1518711364173,"[""stationary""]",2,1,2018-02-15 11:16:04,15,11,16,4.17300009727478
"63",63,1518711364173,"[""stationary""]",2,1,2018-02-15 11:16:04,15,11,16,4.17300009727478
"64",64,1518711364173,"[""stationary""]",2,1,2018-02-15 11:16:04,15,11,16,4.17300009727478
"65",65,1518711364173,"[""stationary""]",2,1,2018-02-15 11:16:04,15,11,16,4.17300009727478
"66",66,1518711364173,"[""stationary""]",2,1,2018-02-15 11:16:04,15,11,16,4.17300009727478
"67",67,1518711511082,"[""stationary""]",2,1,2018-02-15 11:18:31,15,11,18,31.0820000171661
"68",68,1518711691122,"[""stationary""]",2,1,2018-02-15 11:21:31,15,11,21,31.1219999790192
"69",69,1518711871083,"[""stationary""]",2,1,2018-02-15 11:24:31,15,11,24,31.0829999446869
"70",70,1518711871083,"[""stationary""]",2,1,2018-02-15 11:24:31,15,11,24,31.0829999446869
"71",71,1518712051064,"[""stationary""]",2,1,2018-02-15 11:27:31,15,11,27,31.0639998912811
"72",72,1518712231066,"[""stationary""]",2,1,2018-02-15 11:30:31,15,11,30,31.0659999847412
"73",73,1518712304355,NA,2,0,2018-02-15 11:31:44,15,11,31,44.3550000190735
"74",74,1518712309038,"[""stationary""]",2,1,2018-02-15 11:31:49,15,11,31,49.0380001068115
"75",75,1518712327502,NA,2,0,2018-02-15 11:32:07,15,11,32,7.50200009346008
"76",76,1518712332819,"[""stationary""]",2,1,2018-02-15 11:32:12,15,11,32,12.819000005722
"77",77,1518712350352,NA,2,0,2018-02-15 11:32:30,15,11,32,30.3519999980927
"78",78,1518712355667,"[""stationary""]",2,1,2018-02-15 11:32:35,15,11,32,35.6670000553131
"79",79,1518712375080,NA,2,0,2018-02-15 11:32:55,15,11,32,55.0799999237061
"80",80,1518712379464,"[""stationary""]",2,1,2018-02-15 11:32:59,15,11,32,59.4639999866486
"81",81,1518712382595,NA,2,0,2018-02-15 11:33:02,15,11,33,2.59500002861023
"82",82,1518712386667,"[""stationary""]",2,1,2018-02-15 11:33:06,15,11,33,6.66700005531311
"83",83,1518712409840,"[""stationary""]",2,1,2018-02-15 11:33:29,15,11,33,29.8399999141693
"84",84,1518712411081,"[""stationary""]",2,1,2018-02-15 11:33:31,15,11,33,31.0810000896454
"85",85,1518712422992,NA,2,0,2018-02-15 11:33:42,15,11,33,42.9920001029968
"86",86,1518712428941,"[""stationary""]",2,1,2018-02-15 11:33:48,15,11,33,48.9409999847412
"87",87,1518712431140,NA,2,0,2018-02-15 11:33:51,15,11,33,51.1400001049042
"88",88,1518712444910,"[""stationary""]",2,1,2018-02-15 11:34:04,15,11,34,4.91000008583069
"89",89,1518712446788,NA,2,0,2018-02-15 11:34:06,15,11,34,6.78800010681152
"90",90,1518712468069,"[""stationary""]",2,1,2018-02-15 11:34:28,15,11,34,28.069000005722
"91",91,1518712471201,NA,2,0,2018-02-15 11:34:31,15,11,34,31.2009999752045
"92",92,1518712510021,"[""stationary""]",2,1,2018-02-15 11:35:10,15,11,35,10.0209999084473
"93",93,1518712536950,"[""stationary""]",2,1,2018-02-15 11:35:36,15,11,35,36.9500000476837
"94",94,1518712536950,"[""stationary""]",2,1,2018-02-15 11:35:36,15,11,35,36.9500000476837
"95",95,1518712536950,"[""stationary""]",2,1,2018-02-15 11:35:36,15,11,35,36.9500000476837
"96",96,1518712591058,"[""stationary""]",2,1,2018-02-15 11:36:31,15,11,36,31.058000087738
"97",97,1518712771059,"[""stationary""]",2,1,2018-02-15 11:39:31,15,11,39,31.0590000152588
