"","id","time","status","bat.level","easy.time","day","hour","minute","second"
"1",1,1518706030850,1,58,2018-02-15 09:47:10,15,9,47,10.8499999046326
"2",2,1518706090851,1,58,2018-02-15 09:48:10,15,9,48,10.8510000705719
"3",3,1518706150851,1,58,2018-02-15 09:49:10,15,9,49,10.8510000705719
"4",4,1518706210848,1,58,2018-02-15 09:50:10,15,9,50,10.8480000495911
"5",5,1518706228493,1,58,2018-02-15 09:50:28,15,9,50,28.4930000305176
"6",6,1518706269025,1,58,2018-02-15 09:51:09,15,9,51,9.02500009536743
"7",7,1518706329026,1,58,2018-02-15 09:52:09,15,9,52,9.02600002288818
"8",8,1518706389024,1,58,2018-02-15 09:53:09,15,9,53,9.0239999294281
"9",9,1518706449023,1,58,2018-02-15 09:54:09,15,9,54,9.02300000190735
"10",10,1518706509021,1,58,2018-02-15 09:55:09,15,9,55,9.02099990844727
"11",11,1518706569020,1,58,2018-02-15 09:56:09,15,9,56,9.01999998092651
"12",12,1518706629019,1,58,2018-02-15 09:57:09,15,9,57,9.01900005340576
"13",13,1518706689017,1,58,2018-02-15 09:58:09,15,9,58,9.01699995994568
"14",14,1518706749016,1,58,2018-02-15 09:59:09,15,9,59,9.01600003242493
"15",15,1518706809014,1,58,2018-02-15 10:00:09,15,10,0,9.01399993896484
"16",16,1518706869056,1,58,2018-02-15 10:01:09,15,10,1,9.05599999427795
"17",17,1518706929053,1,58,2018-02-15 10:02:09,15,10,2,9.05299997329712
"18",18,1518706989027,1,58,2018-02-15 10:03:09,15,10,3,9.02699995040894
"19",19,1518707049025,1,58,2018-02-15 10:04:09,15,10,4,9.02500009536743
"20",20,1518707109029,1,58,2018-02-15 10:05:09,15,10,5,9.02900004386902
"21",21,1518707169009,1,58,2018-02-15 10:06:09,15,10,6,9.0090000629425
"22",22,1518707229038,1,58,2018-02-15 10:07:09,15,10,7,9.03800010681152
"23",23,1518707289022,1,58,2018-02-15 10:08:09,15,10,8,9.0220000743866
"24",24,1518707349079,1,58,2018-02-15 10:09:09,15,10,9,9.0789999961853
"25",25,1518707409072,1,58,2018-02-15 10:10:09,15,10,10,9.07200002670288
"26",26,1518707469025,1,58,2018-02-15 10:11:09,15,10,11,9.02500009536743
"27",27,1518707529051,1,58,2018-02-15 10:12:09,15,10,12,9.05100011825562
"28",28,1518707589029,1,58,2018-02-15 10:13:09,15,10,13,9.02900004386902
"29",29,1518707649010,1,58,2018-02-15 10:14:09,15,10,14,9.00999999046326
"30",30,1518707709024,1,58,2018-02-15 10:15:09,15,10,15,9.0239999294281
"31",31,1518707769408,1,58,2018-02-15 10:16:09,15,10,16,9.40799999237061
"32",32,1518707792744,1,58,2018-02-15 10:16:32,15,10,16,32.7439999580383
"33",33,1518707852819,1,58,2018-02-15 10:17:32,15,10,17,32.819000005722
"34",34,1518707912743,1,58,2018-02-15 10:18:32,15,10,18,32.7430000305176
"35",35,1518707972741,1,58,2018-02-15 10:19:32,15,10,19,32.7409999370575
"36",36,1518708032798,1,58,2018-02-15 10:20:32,15,10,20,32.7980000972748
"37",37,1518708092788,1,58,2018-02-15 10:21:32,15,10,21,32.7880001068115
