"","easy.time","easy.time2","batvalue","latitude","longitude"
"1",2018-02-15 09:47:10,"2018-02-15 09:47:11",58,40.4442152878558,-79.9461806380954
"2",2018-02-15 09:50:10,"2018-02-15 09:50:11",58,40.444244654729,-79.9462502907135
"3",2018-02-15 09:51:09,"2018-02-15 09:51:09",58,40.444249090409,-79.9462453897695
"4",2018-02-15 09:54:09,"2018-02-15 09:54:09",58,40.4442734787,-79.946248000311
"5",2018-02-15 09:57:09,"2018-02-15 09:57:09",58,40.4442605463325,-79.94626329295
"6",2018-02-15 10:00:09,"2018-02-15 10:00:09",58,40.444268295673,-79.946268366124
"7",2018-02-15 10:03:09,"2018-02-15 10:03:09",58,40.444236275743,-79.946250465114
"8",2018-02-15 10:06:09,"2018-02-15 10:06:09",58,40.444236232433,-79.946250465788
"9",2018-02-15 10:09:09,"2018-02-15 10:09:09",58,40.444236232434,-79.946250465788
"10",2018-02-15 10:12:09,"2018-02-15 10:12:09",58,40.444236232435,-79.946250465788
"11",2018-02-15 10:15:09,"2018-02-15 10:15:09",58,40.444236232443,-79.946250465788
"12",2018-02-15 10:16:32,"2018-02-15 10:16:33",58,40.444247818817,-79.9462432333145
"13",2018-02-15 10:19:32,"2018-02-15 10:19:33",58,40.4442530665,-79.9462389624755
"14",2018-02-15 10:22:32,"2018-02-15 10:22:33",58,40.444216558384,-79.946240253788
"15",2018-02-15 10:36:44,"2018-02-15 10:36:45",54,40.4440256488225,-79.9455983409015
"16",2018-02-15 10:37:44,"2018-02-15 10:37:44",54,40.443819221811,-79.944940636008
"17",2018-02-15 10:38:07,"2018-02-15 10:38:08",54,40.4440256488208,-79.9455983408963
"18",2018-02-15 10:38:07,"2018-02-15 10:38:08",54,40.4440256488208,-79.9455983408963
"19",2018-02-15 10:41:07,"2018-02-15 10:41:08",54,40.443819221812,-79.944940636011
"20",2018-02-15 10:44:07,"2018-02-15 10:44:08",54,40.4436420748645,-79.945112882759
"21",2018-02-15 10:44:59,"2018-02-15 10:44:59",52,40.443603025598,-79.944961285643
"22",2018-02-15 10:45:04,"2018-02-15 10:45:05",52,40.44381270901,-79.9453928723603
"23",2018-02-15 10:45:27,"2018-02-15 10:45:27",52,40.443603025598,-79.944961285643
"24",2018-02-15 10:45:30,"2018-02-15 10:45:31",52,40.4436078347297,-79.9449700713827
"25",2018-02-15 10:48:31,"2018-02-15 10:48:31",52,40.443571015534,-79.944909099785
"26",2018-02-15 10:51:31,"2018-02-15 10:51:31",52,40.4435710155015,-79.944909099731
"27",2018-02-15 10:54:30,"2018-02-15 10:54:31",48,40.44357682431,-79.944917893673
"28",2018-02-15 10:57:30,"2018-02-15 10:57:31",43,40.443585762666,-79.944928520561
"29",2018-02-15 11:00:30,"2018-02-15 11:00:31",43,40.4435925427566,-79.9449435541468
"30",2018-02-15 11:00:30,"2018-02-15 11:00:31",43,40.4435925427566,-79.9449435541468
"31",2018-02-15 11:03:31,"2018-02-15 11:03:31",42,40.4435880253077,-79.9449335703513
"32",2018-02-15 11:06:30,"2018-02-15 11:06:31",43,40.4435801753005,-79.944923483864
"33",2018-02-15 11:09:30,"2018-02-15 11:09:31",45,40.443574502833,-79.944909294784
"34",2018-02-15 11:12:30,"2018-02-15 11:12:31",47,40.4435744388555,-79.94490913475
"35",2018-02-15 11:15:30,"2018-02-15 11:15:31",48,40.4435900572685,-79.9449367512165
"36",2018-02-15 11:15:30,"2018-02-15 11:15:31",48,40.4435900572685,-79.9449367512165
"37",2018-02-15 11:18:31,"2018-02-15 11:18:31",50,40.443579849038,-79.9449124424445
"38",2018-02-15 11:21:31,"2018-02-15 11:21:31",52,40.4435798490395,-79.9449124424445
"39",2018-02-15 11:24:31,"2018-02-15 11:24:31",55,40.443579849039,-79.9449124424445
"40",2018-02-15 11:27:31,"2018-02-15 11:27:31",58,40.4435798490385,-79.9449124424445
"41",2018-02-15 11:30:31,"2018-02-15 11:30:31",60,40.4435914370497,-79.9449368630232
"42",2018-02-15 11:30:31,"2018-02-15 11:30:31",60,40.4435914370497,-79.9449368630232
"43",2018-02-15 11:33:30,"2018-02-15 11:33:31",62,40.4435725426115,-79.944906542035
"44",2018-02-15 11:36:31,"2018-02-15 11:36:31",63,40.4435723603495,-79.9449061961425
"45",2018-02-15 11:39:31,"2018-02-15 11:39:31",65,40.443572358751,-79.9449061942645
"46",2018-02-15 11:42:31,"2018-02-15 11:42:31",67,40.4435723587515,-79.9449061942655
"47",2018-02-15 11:45:30,"2018-02-15 11:45:31",70,40.4435876919093,-79.9449337389373
"48",2018-02-15 11:45:30,"2018-02-15 11:45:31",70,40.4435876919093,-79.9449337389373
"49",2018-02-15 11:48:30,"2018-02-15 11:48:31",72,40.4435723587575,-79.944906194273
"50",2018-02-15 11:51:31,"2018-02-15 11:51:31",74,40.4435723587575,-79.944906194273
"51",2018-02-15 11:54:31,"2018-02-15 11:54:31",76,40.443572358759,-79.9449061942745
"52",2018-02-15 11:57:31,"2018-02-15 11:57:31",79,40.4435723587595,-79.944906194275
"53",2018-02-15 11:57:31,"2018-02-15 11:57:31",79,40.4435723587595,-79.944906194275
"54",2018-02-15 12:00:30,"2018-02-15 12:00:31",80,40.4435906777163,-79.944937938764
"55",2018-02-15 12:00:30,"2018-02-15 12:00:31",80,40.4435906777163,-79.944937938764
"56",2018-02-15 12:03:31,"2018-02-15 12:03:31",82,40.443578656476,-79.9449150526235
"57",2018-02-15 12:06:31,"2018-02-15 12:06:31",84,40.4435775880605,-79.944912763047
"58",2018-02-15 12:09:30,"2018-02-15 12:09:31",84,40.4435764558485,-79.944914973497
"59",2018-02-15 12:12:31,"2018-02-15 12:12:31",86,40.4435781961655,-79.944917163109
"60",2018-02-15 12:15:31,"2018-02-15 12:15:31",88,40.4435898250865,-79.9449365973063
"61",2018-02-15 12:15:31,"2018-02-15 12:15:31",88,40.4435898250865,-79.9449365973063
"62",2018-02-15 12:18:31,"2018-02-15 12:18:31",89,40.443576625116,-79.944911911024
"63",2018-02-15 12:21:31,"2018-02-15 12:21:31",90,40.443576918273,-79.9449143364005
"64",2018-02-15 12:24:30,"2018-02-15 12:24:31",91,40.4435767311985,-79.9449142567055
"65",2018-02-15 12:27:31,"2018-02-15 12:27:31",92,40.4435767312015,-79.9449142567065
"66",2018-02-15 12:30:31,"2018-02-15 12:30:31",93,40.4435898781325,-79.944937770155
"67",2018-02-15 12:30:31,"2018-02-15 12:30:31",93,40.4435898781325,-79.944937770155
"68",2018-02-15 12:33:31,"2018-02-15 12:33:31",94,40.4435771099695,-79.9449107291655
"69",2018-02-15 12:36:30,"2018-02-15 12:36:31",95,40.443576935513,-79.944909728255
"70",2018-02-15 12:39:30,"2018-02-15 12:39:31",95,40.443573999905,-79.944902539457
"71",2018-02-15 12:42:31,"2018-02-15 12:42:31",96,40.4435764060355,-79.944910701057
"72",2018-02-15 12:45:31,"2018-02-15 12:45:31",97,40.443589715548,-79.9449359923117
"73",2018-02-15 12:45:31,"2018-02-15 12:45:31",97,40.443589715548,-79.9449359923117
"74",2018-02-15 12:48:31,"2018-02-15 12:48:31",97,40.443576406035,-79.9449107010215
"75",2018-02-15 12:51:30,"2018-02-15 12:51:31",98,40.4435747345845,-79.944912037371
"76",2018-02-15 12:54:31,"2018-02-15 12:54:31",98,40.4435841016175,-79.9449165945395
"77",2018-02-15 12:57:31,"2018-02-15 12:57:31",98,40.443575285884,-79.944907293902
"78",2018-02-15 13:00:31,"2018-02-15 13:00:31",98,40.4435892628153,-79.9449349436375
"79",2018-02-15 13:00:31,"2018-02-15 13:00:31",98,40.4435892628153,-79.9449349436375
"80",2018-02-15 13:03:31,"2018-02-15 13:03:31",98,40.443575500564,-79.944908602546
"81",2018-02-15 13:06:31,"2018-02-15 13:06:31",99,40.443575500564,-79.9449086025545
"82",2018-02-15 13:09:31,"2018-02-15 13:09:31",99,40.4435745850735,-79.9449087184655
"83",2018-02-15 13:12:31,"2018-02-15 13:12:31",99,40.4435725290085,-79.944876707409
"84",2018-02-15 13:15:31,"2018-02-15 13:15:31",99,40.4435908264842,-79.9449274521904
"85",2018-02-15 19:15:21,"2018-02-15 19:15:21",47,40.441754525267,-79.919865653258
"86",2018-02-15 19:18:20,"2018-02-15 19:18:21",47,40.4417175356775,-79.919966560377
"87",2018-02-15 19:21:21,"2018-02-15 19:21:21",47,40.441704342011,-79.919996950301
"88",2018-02-15 19:24:21,"2018-02-15 19:24:21",47,40.441712361991,-79.9200144736425
"89",2018-02-15 19:27:21,"2018-02-15 19:27:21",47,40.441697269834,-79.919979707354
"90",2018-02-15 19:30:21,"2018-02-15 19:30:21",47,40.441678631108,-79.9199309194305
"91",2018-02-15 19:33:21,"2018-02-15 19:33:21",47,40.4416786260855,-79.919930944485
