"","easy.time","easy.time2","batvalue","latitude","longitude"
"1",2018-02-15 09:47:10,"2018-02-15 09:47:10",58,40.444215287866,-79.946180638746
"2",2018-02-15 09:50:10,"2018-02-15 09:50:10",58,40.444244654729,-79.9462502907135
"3",2018-02-15 09:50:28,"2018-02-15 09:50:28",58,40.444257233968,-79.946244535702
"4",2018-02-15 09:51:09,"2018-02-15 09:51:09",58,40.444249090409,-79.9462453897695
"5",2018-02-15 09:54:09,"2018-02-15 09:54:09",58,40.4442734787,-79.946248000311
"6",2018-02-15 09:57:09,"2018-02-15 09:57:09",58,40.4442605463325,-79.94626329295
"7",2018-02-15 10:00:09,"2018-02-15 10:00:09",58,40.444268295673,-79.946268366124
"8",2018-02-15 10:03:09,"2018-02-15 10:03:09",58,40.444236275743,-79.946250465114
"9",2018-02-15 10:06:09,"2018-02-15 10:06:09",58,40.444236232433,-79.946250465788
"10",2018-02-15 10:09:09,"2018-02-15 10:09:09",58,40.444236232434,-79.946250465788
"11",2018-02-15 10:12:09,"2018-02-15 10:12:09",58,40.444236232435,-79.946250465788
"12",2018-02-15 10:15:09,"2018-02-15 10:15:09",58,40.444236232443,-79.946250465788
"13",2018-02-15 10:16:32,"2018-02-15 10:16:32",58,40.444253066472,-79.946238962491
"14",NA,"2018-02-15 10:16:33",57,40.444242571162,-79.946247504138
"15",2018-02-15 10:19:32,"2018-02-15 10:19:32",58,40.4442530665,-79.9462389624755
"16",2018-02-15 10:22:32,"2018-02-15 10:22:32",58,40.444216558384,-79.946240253788
"17",2018-02-15 10:36:44,"2018-02-15 10:36:44",54,40.4440256488225,-79.9455983409015
"18",2018-02-15 10:37:44,"2018-02-15 10:37:44",54,40.4439568398153,-79.9453791059267
"19",2018-02-15 10:38:07,"2018-02-15 10:38:07",54,40.443819221811,-79.944940636008
"20",2018-02-15 10:38:07,"2018-02-15 10:38:07",54,40.443819221811,-79.944940636008
"21",NA,"2018-02-15 10:38:08",54,40.4441288623258,-79.9459271933405
"22",NA,"2018-02-15 10:39:33",54,40.443819221812,-79.944940636011
"23",2018-02-15 10:41:07,"2018-02-15 10:41:07",54,40.443819221812,-79.944940636011
"24",NA,"2018-02-15 10:41:08",53.4285714285714,40.443819221812,-79.944940636011
"25",NA,"2018-02-15 10:41:46",53.3469387755102,40.443617306998,-79.944999593151
"26",2018-02-15 10:44:07,"2018-02-15 10:44:07",54,40.4436420748645,-79.945112882759
"27",2018-02-15 10:44:59,"2018-02-15 10:44:59",52,40.44381270901,-79.9453928723603
"28",2018-02-15 10:45:04,"2018-02-15 10:45:04",52,40.443603025598,-79.944961285643
"29",NA,"2018-02-15 10:45:05",52.4781341107872,40.443917550716,-79.945608665719
