"","source","donor.continent","target","target.continent","time","value"
"6","Switzerland","Europe","Afghanistan","Asia",1995,3.41
"105","Norway","Europe","Afghanistan","Asia",1995,9.2
"177","France","Europe","Afghanistan","Asia",1995,3.48
"434","United Kingdom","Europe","Afghanistan","Asia",1995,10.9
"592","Canada","North America","Afghanistan","Asia",1995,7.14
"614","Spain","Europe","Afghanistan","Asia",1995,0.12
"639","Belgium","Europe","Afghanistan","Asia",1995,0.2
"650","Netherlands","Europe","Afghanistan","Asia",1995,26.6
"660","Germany","Europe","Afghanistan","Asia",1995,15.61
"662","Luxembourg","Europe","Afghanistan","Asia",1995,0.52
"685","Italy","Europe","Afghanistan","Asia",1995,0.61
"689","Austria","Europe","Afghanistan","Asia",1995,0.82
"712","Finland","Europe","Afghanistan","Asia",1995,1.39
"754","Denmark","Europe","Afghanistan","Asia",1995,5.62
"818","Ireland","Europe","Afghanistan","Asia",1995,0.23
"820","Sweden","Europe","Afghanistan","Asia",1995,15.3
"863","United States","North America","Afghanistan","Asia",1995,2
"902","Australia","Oceania","Afghanistan","Asia",1995,2.9
"964","Belgium","Europe","Angola","Africa",1995,0.64
"1013","Japan","Asia","Angola","Africa",1995,0.12
"1052","Switzerland","Europe","Angola","Africa",1995,3.62
"1073","New Zealand","Oceania","Angola","Africa",1995,0.13
"1078","Norway","Europe","Angola","Africa",1995,28.75
"1136","Spain","Europe","Angola","Africa",1995,7.51
"1158","Denmark","Europe","Angola","Africa",1995,0.02
"1159","Australia","Oceania","Angola","Africa",1995,1.99
"1177","Sweden","Europe","Angola","Africa",1995,26.52
"1180","Luxembourg","Europe","Angola","Africa",1995,0.48
"1250","United States","North America","Angola","Africa",1995,31
"1361","Canada","North America","Angola","Africa",1995,3.84
"1423","France","Europe","Angola","Africa",1995,35.1
"1428","Germany","Europe","Angola","Africa",1995,16.98
"1457","Finland","Europe","Angola","Africa",1995,1.68
"1485","United Kingdom","Europe","Angola","Africa",1995,21.53
"1540","Austria","Europe","Angola","Africa",1995,2.16
"1586","Korea","Asia","Angola","Africa",1995,0.14
"1637","Netherlands","Europe","Angola","Africa",1995,23.33
"1639","Ireland","Europe","Angola","Africa",1995,0.6
"1674","Portugal","Europe","Angola","Africa",1995,24.03
"1704","Italy","Europe","Angola","Africa",1995,11.71
"1733","Switzerland","Europe","Armenia","Europe",1995,0.04
"1754","Korea","Asia","Armenia","Europe",1995,0.02
"1766","Japan","Asia","Armenia","Europe",1995,0.06
"1779","Canada","North America","Armenia","Europe",1995,0.72
"1863","United States","North America","Armenia","Europe",1995,60
"1871","Luxembourg","Europe","Armenia","Europe",1995,0.19
"1900","Netherlands","Europe","Armenia","Europe",1995,12.99
"1948","Austria","Europe","Armenia","Europe",1995,0.45
"2042","Sweden","Europe","Armenia","Europe",1995,2.76
"2077","France","Europe","Armenia","Europe",1995,2.01
"2081","Germany","Europe","Armenia","Europe",1995,4.66
"2136","Norway","Europe","Armenia","Europe",1995,1.58
"2161","Ireland","Europe","Armenia","Europe",1995,0.02
"2197","United Kingdom","Europe","Armenia","Europe",1995,1.59
"2200","Italy","Europe","Armenia","Europe",1995,3.6
"2261","Luxembourg","Europe","Bangladesh","Asia",1995,0.24
"2358","New Zealand","Oceania","Bangladesh","Asia",1995,0.21
"2363","Spain","Europe","Bangladesh","Asia",1995,0.42
"2384","Japan","Asia","Bangladesh","Asia",1995,254.89
"2392","Switzerland","Europe","Bangladesh","Asia",1995,11.82
"2431","Denmark","Europe","Bangladesh","Asia",1995,32.63
"2459","Netherlands","Europe","Bangladesh","Asia",1995,57.5
"2497","Italy","Europe","Bangladesh","Asia",1995,4.87
"2553","Sweden","Europe","Bangladesh","Asia",1995,26.45
"2607","Germany","Europe","Bangladesh","Asia",1995,61.46
"2621","Austria","Europe","Bangladesh","Asia",1995,0.57
"2653","Belgium","Europe","Bangladesh","Asia",1995,2.45
"2657","Korea","Asia","Bangladesh","Asia",1995,1.06
"2731","Canada","North America","Bangladesh","Asia",1995,52.24
"2787","Finland","Europe","Bangladesh","Asia",1995,4.71
"2839","France","Europe","Bangladesh","Asia",1995,27.39
"2875","Ireland","Europe","Bangladesh","Asia",1995,1.58
"2959","Norway","Europe","Bangladesh","Asia",1995,41.2
"3001","United Kingdom","Europe","Bangladesh","Asia",1995,76.01
"3015","United States","North America","Bangladesh","Asia",1995,56
"3103","Australia","Oceania","Bangladesh","Asia",1995,14.74
"3151","Switzerland","Europe","Benin","Africa",1995,16.34
"3202","Ireland","Europe","Benin","Africa",1995,0.06
"3251","Japan","Asia","Benin","Africa",1995,12.28
"3263","United Kingdom","Europe","Benin","Africa",1995,0.02
"3326","Canada","North America","Benin","Africa",1995,10.24
"3363","Sweden","Europe","Benin","Africa",1995,0.05
"3404","Luxembourg","Europe","Benin","Africa",1995,0.12
"3426","Belgium","Europe","Benin","Africa",1995,2.85
"3442","Denmark","Europe","Benin","Africa",1995,13.18
"3559","Netherlands","Europe","Benin","Africa",1995,4.94
"3618","Germany","Europe","Benin","Africa",1995,51.37
"3662","France","Europe","Benin","Africa",1995,54.27
"3764","United States","North America","Benin","Africa",1995,11
"3766","Austria","Europe","Benin","Africa",1995,0.01
"3839","Korea","Asia","Benin","Africa",1995,0.12
"3851","Italy","Europe","Benin","Africa",1995,0.68
"3853","Spain","Europe","Benin","Africa",1995,0.09
"3951","Australia","Oceania","Bhutan","Asia",1995,0.48
"3958","Austria","Europe","Bhutan","Asia",1995,3.88
"4003","Ireland","Europe","Bhutan","Asia",1995,0.01
"4038","France","Europe","Bhutan","Asia",1995,0.03
"4121","United Kingdom","Europe","Bhutan","Asia",1995,0.09
"4130","Switzerland","Europe","Bhutan","Asia",1995,9.04
"4139","Germany","Europe","Bhutan","Asia",1995,2.78
"4152","Belgium","Europe","Bhutan","Asia",1995,0.01
"4172","Japan","Asia","Bhutan","Asia",1995,21.86
"4209","Denmark","Europe","Bhutan","Asia",1995,9.65
"4267","Canada","North America","Bhutan","Asia",1995,0.31
"4280","New Zealand","Oceania","Bhutan","Asia",1995,0.26
"4292","Norway","Europe","Bhutan","Asia",1995,0.78
"4335","Italy","Europe","Bhutan","Asia",1995,0.01
"4337","Sweden","Europe","Bhutan","Asia",1995,0.48
"4408","Netherlands","Europe","Bhutan","Asia",1995,5.54
"4459","Korea","Asia","Bhutan","Asia",1995,0.32
"4539","Luxembourg","Europe","Bolivia","South America",1995,0.14
"4562","Belgium","Europe","Bolivia","South America",1995,46.52
"4602","Norway","Europe","Bolivia","South America",1995,2.35
"4675","Japan","Asia","Bolivia","South America",1995,93.28
"4681","Switzerland","Europe","Bolivia","South America",1995,16.21
"4686","Germany","Europe","Bolivia","South America",1995,68.94
"4747","United States","North America","Bolivia","South America",1995,89
"4751","Ireland","Europe","Bolivia","South America",1995,0.03
"4898","Canada","North America","Bolivia","South America",1995,11.31
"4923","Denmark","Europe","Bolivia","South America",1995,6.76
"5002","France","Europe","Bolivia","South America",1995,29.39
"5072","Austria","Europe","Bolivia","South America",1995,3.05
"5124","Spain","Europe","Bolivia","South America",1995,14.37
"5241","Finland","Europe","Bolivia","South America",1995,0.32
"5243","Netherlands","Europe","Bolivia","South America",1995,57
"5294","United Kingdom","Europe","Bolivia","South America",1995,50.95
"5317","Italy","Europe","Bolivia","South America",1995,5.57
"5335","New Zealand","Oceania","Bolivia","South America",1995,0.01
"5372","Sweden","Europe","Bolivia","South America",1995,22.84
"5387","Korea","Asia","Bolivia","South America",1995,0.27
"5404","Japan","Asia","Burkina Faso","Africa",1995,6.66
"5507","Canada","North America","Burkina Faso","Africa",1995,8.07
"5510","Germany","Europe","Burkina Faso","Africa",1995,30.9
"5554","Belgium","Europe","Burkina Faso","Africa",1995,4.25
"5584","Denmark","Europe","Burkina Faso","Africa",1995,16.31
"5632","Switzerland","Europe","Burkina Faso","Africa",1995,12.26
"5635","Luxembourg","Europe","Burkina Faso","Africa",1995,1.11
"5670","Norway","Europe","Burkina Faso","Africa",1995,0.37
"5711","Australia","Oceania","Burkina Faso","Africa",1995,0.14
"5777","Netherlands","Europe","Burkina Faso","Africa",1995,39.14
"5798","United States","North America","Burkina Faso","Africa",1995,14
"5841","United Kingdom","Europe","Burkina Faso","Africa",1995,0.54
"5900","Italy","Europe","Burkina Faso","Africa",1995,2.72
"5916","Ireland","Europe","Burkina Faso","Africa",1995,0.08
"5986","France","Europe","Burkina Faso","Africa",1995,111.31
"6025","Spain","Europe","Burkina Faso","Africa",1995,0.49
"6029","Finland","Europe","Burkina Faso","Africa",1995,0.03
"6169","Sweden","Europe","Burkina Faso","Africa",1995,0.91
"6188","Korea","Asia","Burkina Faso","Africa",1995,0.15
"6192","Austria","Europe","Burkina Faso","Africa",1995,3.05
"6239","Ireland","Europe","Burundi","Africa",1995,0.19
"6332","Belgium","Europe","Burundi","Africa",1995,9.48
